command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
MegaMesh.AdaptiveTessellation.EdgeFlipSteps,CVar,int32,1,MegaMesh,后处理,All,true,false,false,false,false,,`MegaMesh.AdaptiveTessellation.EdgeFlipSteps=<值>` / `MegaMesh.AdaptiveTessellation.EdgeFlipSteps <值>` 或 INI 中配置,Number of edge flip iterations to run in during mesh postprocessing.,
MegaMesh.AdaptiveTessellation.FlipAngleThreshold,CVar,float,0.1 * UE_PI,MegaMesh,后处理,All,true,false,false,false,false,,`MegaMesh.AdaptiveTessellation.FlipAngleThreshold=<值>` / `MegaMesh.AdaptiveTessellation.FlipAngleThreshold <值>` 或 INI 中配置,Enable elliptic weight average filtering for displacement map filtering.,
MegaMesh.AdaptiveTessellation.RegularizationSteps,CVar,float,1,MegaMesh,后处理,All,true,false,false,false,false,,`MegaMesh.AdaptiveTessellation.RegularizationSteps=<值>` / `MegaMesh.AdaptiveTessellation.RegularizationSteps <值>` 或 INI 中配置,Number of mesh regularization iterations to run in during mesh postprocessing.,
MegaMesh.AdaptiveTessellation.RemeshingSteps,CVar,int32,0,MegaMesh,后处理,All,true,false,false,false,false,,`MegaMesh.AdaptiveTessellation.RemeshingSteps=<值>` / `MegaMesh.AdaptiveTessellation.RemeshingSteps <值>` 或 INI 中配置,Number of remeshing iterations to apply,
MegaMesh.AdaptiveTessellation.SplitLongEdgesSteps,CVar,int32,1,MegaMesh,后处理,All,true,false,false,false,false,,`MegaMesh.AdaptiveTessellation.SplitLongEdgesSteps=<值>` / `MegaMesh.AdaptiveTessellation.SplitLongEdgesSteps <值>` 或 INI 中配置,Number of edge split iterations (reducing the amount of long edges) to run in during mesh postprocessing.,
MegaMesh.AdaptiveTessellation.SplitThreshold,CVar,float,0.9,MegaMesh,后处理,All,true,false,false,false,false,,`MegaMesh.AdaptiveTessellation.SplitThreshold=<值>` / `MegaMesh.AdaptiveTessellation.SplitThreshold <值>` 或 INI 中配置,Ratio of longest edge/sum of length of other edges to trigger edge splitting.,
