command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
nne.hlsl.getoperatorsupportmatrix,Command,string,,nne,光线追踪,All,true,false,false,false,false,,`nne.hlsl.getoperatorsupportmatrix`（可带参数，具体见帮助说明）,Get the NNERuntimeRDGHlsl operators support matrix in term of ONNX.,
nne.hlsl.ModelOptimization,CVar,int32,1,nne,通用,All,false,true,false,false,false,,`nne.hlsl.ModelOptimization=<值>` / `nne.hlsl.ModelOptimization <值>` 或 INI 中配置,Allows model optimizations when model are cooked for the HLSL runtime.\n,ECVF_ReadOnly #endif
nne.hlsl.WinogradPrecision,CVar,int32,0,nne,通用,All,true,false,false,false,false,,`nne.hlsl.WinogradPrecision=<值>` / `nne.hlsl.WinogradPrecision <值>` 或 INI 中配置,Selects the Precision of the Winograd Convolution implementation.\n,
