command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
WidgetReflector.DumpFontAtlases,Command,string,,WidgetReflector,渲染调试/可视化,All,true,false,false,false,false,,`WidgetReflector.DumpFontAtlases`（可带参数，具体见帮助说明）,Save all of the font atlases currently in the font cache on the local drive. A timestamp will be automatically appended to the directory where the textures will be saved. The default location is YourProject/Saved/WidgetReflector/FontAtlases_Timestamp ie. WidgetReflector.DumpFontAtlases[SaveDirectory=<SaveDirectory>] [SaveFilePrefix=ExamplePrefix],
WidgetReflector.TakeSnapshot,Command,string,,WidgetReflector,通用,All,true,false,false,false,false,,`WidgetReflector.TakeSnapshot`（可带参数，具体见帮助说明）,Take a snapshot and save the result on the local drive. ie. WidgetReflector.TakeSnapshot [Delay=1.0] [Navigation=false],
