command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
r.Lumen.TraceMeshSDFs.Allow,CVar,string,,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.Lumen.TraceMeshSDFs.Allow=<值>` / `r.Lumen.TraceMeshSDFs.Allow <值>` 或 INI 中配置,"Whether Lumen should trace against Mesh Signed Distance fields.  When enabled, Lumen's Software Tracing will be more accurate, but scenes with high instance density (overlapping meshes) will have high tracing costs.  When disabled, lower resolution Global Signed Distance Field will be used instead.",ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.TranslucencyReflections.FrontLayer.Allow,CVar,string,,r,Lumen,All,true,false,false,true,true,ReflectionQuality@2;ReflectionQuality@3;ReflectionQuality@Cine,`r.Lumen.TranslucencyReflections.FrontLayer.Allow=<值>` / `r.Lumen.TranslucencyReflections.FrontLayer.Allow <值>` 或 INI 中配置,Whether to render Lumen Reflections on the frontmost layer of Translucent Surfaces.  Other layers will use the lower quality Radiance Cache method that can only produce glossy reflections.,ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.TranslucencyReflections.FrontLayer.Enable,CVar,string,,r,Lumen,All,true,false,false,true,true,ReflectionQuality@2;ReflectionQuality@3;ReflectionQuality@Cine,`r.Lumen.TranslucencyReflections.FrontLayer.Enable=<值>` / `r.Lumen.TranslucencyReflections.FrontLayer.Enable <值>` 或 INI 中配置,Whether to render Lumen Reflections on the frontmost layer of Translucent Surfaces.  Other layers will use the lower quality Radiance Cache method that can only produce glossy reflections.,ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.TranslucencyVolume.Enable,CVar,int32,1,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.Lumen.TranslucencyVolume.Enable=<值>` / `r.Lumen.TranslucencyVolume.Enable <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.TranslucencyVolume.GridPixelSize,CVar,int32,32,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.Lumen.TranslucencyVolume.GridPixelSize=<值>` / `r.Lumen.TranslucencyVolume.GridPixelSize <值>` 或 INI 中配置,"Size of a cell in the translucency grid, in pixels.",ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.TranslucencyVolume.RadianceCache.NumProbesToTraceBudget,CVar,int32,100,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.Lumen.TranslucencyVolume.RadianceCache.NumProbesToTraceBudget=<值>` / `r.Lumen.TranslucencyVolume.RadianceCache.NumProbesToTraceBudget <值>` 或 INI 中配置,Number of radiance cache probes that can be updated per frame.,ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.TranslucencyVolume.RadianceCache.ProbeResolution,CVar,int32,8,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.Lumen.TranslucencyVolume.RadianceCache.ProbeResolution=<值>` / `r.Lumen.TranslucencyVolume.RadianceCache.ProbeResolution <值>` 或 INI 中配置,Resolution of the probe's 2d radiance layout.  The number of rays traced for the probe will be ProbeResolution ^ 2,ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.TranslucencyVolume.TraceFromVolume,CVar,int32,1,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.Lumen.TranslucencyVolume.TraceFromVolume=<值>` / `r.Lumen.TranslucencyVolume.TraceFromVolume <值>` 或 INI 中配置,Whether to ray trace from the translucency volume's voxels to gather indirect lighting.  Only makes sense to disable if TranslucencyVolume.RadianceCache is enabled.,ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.TranslucencyVolume.TracingOctahedronResolution,CVar,int32,3,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.Lumen.TranslucencyVolume.TracingOctahedronResolution=<值>` / `r.Lumen.TranslucencyVolume.TracingOctahedronResolution <值>` 或 INI 中配置,Resolution of the tracing octahedron.  Determines how many traces are done per voxel of the translucency lighting volume.,ECVF_Scalability | ECVF_RenderThreadSafe
r.LumenScene.DirectLighting.MaxLightsPerTile,CVar,int32,8,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.LumenScene.DirectLighting.MaxLightsPerTile=<值>` / `r.LumenScene.DirectLighting.MaxLightsPerTile <值>` 或 INI 中配置,Max number of lights to pick per tile based on their intenstiy and attenuation. Valid values are 4/8/16/32. Increasing this value will cause more memory usage and will slow down Lumen surface cache direct lighting pass.,ECVF_Scalability | ECVF_RenderThreadSafe
r.LumenScene.DirectLighting.UpdateFactor,CVar,string,,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.LumenScene.DirectLighting.UpdateFactor=<值>` / `r.LumenScene.DirectLighting.UpdateFactor <值>` 或 INI 中配置,Controls for how many texels direct lighting will be updated every frame. Texels = SurfaceCacheTexels / Factor.,ECVF_Scalability | ECVF_RenderThreadSafe
r.LumenScene.Radiosity.HemisphereProbeResolution,CVar,string,,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.LumenScene.Radiosity.HemisphereProbeResolution=<值>` / `r.LumenScene.Radiosity.HemisphereProbeResolution <值>` 或 INI 中配置,Number of traces along one dimension of the hemisphere probe layout.,ECVF_Scalability | ECVF_RenderThreadSafe
r.LumenScene.Radiosity.ProbeSpacing,CVar,string,,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.LumenScene.Radiosity.ProbeSpacing=<值>` / `r.LumenScene.Radiosity.ProbeSpacing <值>` 或 INI 中配置,"Distance between probes, in Surface Cache texels",ECVF_Scalability | ECVF_RenderThreadSafe
r.LumenScene.Radiosity.UpdateFactor,CVar,string,,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.LumenScene.Radiosity.UpdateFactor=<值>` / `r.LumenScene.Radiosity.UpdateFactor <值>` 或 INI 中配置,Controls for how many texels radiosity will be updated every frame. Texels = SurfaceCacheTexels / Factor.,ECVF_Scalability | ECVF_RenderThreadSafe
