command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
RHIPoolAllocator.DefragMaxPoolsToClear,CVar,string,,RHIPoolAllocator,RHI/底层渲染接口,All,true,false,false,false,false,,`RHIPoolAllocator.DefragMaxPoolsToClear=<值>` / `RHIPoolAllocator.DefragMaxPoolsToClear <值>` 或 INI 中配置,Maximum amount of pools to try and clear during a single alloctor defrag call (default: 1 - negative then all pools will be tried and no timeslicing),ECVF_Default
RHIPoolAllocator.DefragSizeFraction,CVar,string,,RHIPoolAllocator,RHI/底层渲染接口,All,true,false,false,false,false,,`RHIPoolAllocator.DefragSizeFraction=<值>` / `RHIPoolAllocator.DefragSizeFraction <值>` 或 INI 中配置,Skip defrag of pool if usage is more than given fraction (default: 0.9f).,ECVF_Default
RHIPoolAllocator.ValidateLinkedList,CVar,string,,RHIPoolAllocator,RHI/底层渲染接口,All,true,false,false,false,false,,`RHIPoolAllocator.ValidateLinkedList=<值>` / `RHIPoolAllocator.ValidateLinkedList <值>` 或 INI 中配置,Validate all the internal linked list data of all the RHIPoolAllocators during every operation.,ECVF_Default
