command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
odsc.excludedclasses,CVar,string,,odsc,后处理,All,true,false,false,false,false,,`odsc.excludedclasses=<值>` / `odsc.excludedclasses <值>` 或 INI 中配置,Controls what packages will be ignored during material loading to speed it up. This will exclude uassets inheriting from these classes\n,ECVF_Default
ODSC.MaterialUpdateFlags,CVar,string,,ODSC,材质,All,true,false,false,false,false,,`ODSC.MaterialUpdateFlags=<值>` / `ODSC.MaterialUpdateFlags <值>` 或 INI 中配置,Changes the material update flags when ODSC receives new shaders and needs to update the materials\n,
odsc.shadermaps.lifetime,CVar,string,,odsc,材质,All,true,false,false,false,false,,`odsc.shadermaps.lifetime=<值>` / `odsc.shadermaps.lifetime <值>` 或 INI 中配置,"Controls how many shader recompiles can happen before deleting an unused shadermap. Higher values means more memory, but faster iteration time\n",ECVF_Default
odsc.shadermaps.numbeforegc,CVar,string,,odsc,材质,All,true,false,false,false,false,,`odsc.shadermaps.numbeforegc=<值>` / `odsc.shadermaps.numbeforegc <值>` 或 INI 中配置,"Controls how many shader maps we keep in memory before we start deleting them. Higher values means more memory, but faster iteration time\n",ECVF_Default
