command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
UI.SlatePostBlurStrengthOverride,CVar,string,,UI,后处理,All,true,false,false,false,false,,`UI.SlatePostBlurStrengthOverride=<值>` / `UI.SlatePostBlurStrengthOverride <值>` 或 INI 中配置,Globally overrides the blur strength for all Slate post process blurs (0 = no override),
UI.SlatePostBlurUseDualKawaseFilter,CVar,string,,UI,后处理,All,true,false,false,false,false,,`UI.SlatePostBlurUseDualKawaseFilter=<值>` / `UI.SlatePostBlurUseDualKawaseFilter <值>` 或 INI 中配置,Toggles between the old Gaussian blur implementation (0) and the new optimized Dual Kawase filter blur implementation (1),
UI.SlateSDFText.DebugVisual,CVar,string,,UI,渲染调试/可视化,All,true,false,false,false,false,,`UI.SlateSDFText.DebugVisual=<值>` / `UI.SlateSDFText.DebugVisual <值>` 或 INI 中配置,"Slate SDF text debug visuals - 0: Disabled, 1: Raw SDF, 2: Text color, 3: Colored boxes.",
UI.SlateSDFText.Enable,CVar,string,,UI,通用,All,true,false,false,false,false,,`UI.SlateSDFText.Enable=<值>` / `UI.SlateSDFText.Enable <值>` 或 INI 中配置,Enables signed distance field-based text rendering in Slate,
