command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
xr.OpenXRFBFoveation.Preview,CVar,int32,1,xr,VR/XR,All,true,false,false,false,false,,`xr.OpenXRFBFoveation.Preview=<值>` / `xr.OpenXRFBFoveation.Preview <值>` 或 INI 中配置,Whether to include FB foveation in VRS preview overlay. This is currently not implemented.,ECVF_RenderThreadSafe
xr.OpenXRFBFoveationDynamic,CVar,bool,false,xr,VR/XR,All,false,true,false,false,false,,`xr.OpenXRFBFoveationDynamic=<值>` / `xr.OpenXRFBFoveationDynamic <值>` 或 INI 中配置,Whether dynamically changing foveation based on performance headroom is enabled.\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
xr.OpenXRFBFoveationLevel,CVar,int32,0,xr,VR/XR,All,false,true,false,false,false,,`xr.OpenXRFBFoveationLevel=<值>` / `xr.OpenXRFBFoveationLevel <值>` 或 INI 中配置,Possible foveation levels as specified by the XrFoveationLevelFB enumeration.\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
xr.OpenXRFBFoveationVerticalOffset,CVar,float,0,xr,光线追踪,All,false,true,false,false,false,,`xr.OpenXRFBFoveationVerticalOffset=<值>` / `xr.OpenXRFBFoveationVerticalOffset <值>` 或 INI 中配置,Desired vertical offset in degrees for the center of the foveation pattern.\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
xr.VRS.DynamicFoveation,CVar,int32,0,xr,VR/XR,All,true,false,false,false,false,,`xr.VRS.DynamicFoveation=<值>` / `xr.VRS.DynamicFoveation <值>` 或 INI 中配置,Whether foveation level should adjust based on GPU utilization\n,ECVF_RenderThreadSafe
xr.VRS.FoveationLevel,CVar,int,0,xr,VR/XR,All,true,false,false,false,false,,`xr.VRS.FoveationLevel=<值>` / `xr.VRS.FoveationLevel <值>` 或 INI 中配置,Level of foveated VRS to apply (when Variable Rate Shading is available)\n,ECVF_RenderThreadSafe
xr.VRS.FoveationPreview,CVar,int32,1,xr,VR/XR,All,true,false,false,false,false,,`xr.VRS.FoveationPreview=<值>` / `xr.VRS.FoveationPreview <值>` 或 INI 中配置,Include foveated VRS in the VRS debug overlay.,ECVF_RenderThreadSafe
xr.VRS.GazeTrackedFoveation,CVar,int32,0,xr,VR/XR,All,true,false,false,false,false,,`xr.VRS.GazeTrackedFoveation=<值>` / `xr.VRS.GazeTrackedFoveation <值>` 或 INI 中配置,Enable gaze-tracking for foveated VRS\n,ECVF_RenderThreadSafe
