command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
MotionDesign.MaterialCache.DumpMaterials,Command,string,,MotionDesign,材质,All,true,false,false,false,false,,`MotionDesign.MaterialCache.DumpMaterials`（可带参数，具体见帮助说明）,Dumps all the materials that are currently being processed in the Material Cache Helper,
MotionDesign.MaterialCache.FrameTimeStarveThreshold,CVar,float,1.f / 30.f,MotionDesign,材质,All,true,false,false,false,false,,`MotionDesign.MaterialCache.FrameTimeStarveThreshold=<值>` / `MotionDesign.MaterialCache.FrameTimeStarveThreshold <值>` 或 INI 中配置,"The frame time threshold for starving tick. If the current duration of the frame surpasses this, FMaterialCacheHelper::Tick will be skipped and starve.",
MotionDesign.MaterialCache.TickMaxStarveFrames,CVar,int32,8,MotionDesign,材质,All,true,false,false,false,false,,`MotionDesign.MaterialCache.TickMaxStarveFrames=<值>` / `MotionDesign.MaterialCache.TickMaxStarveFrames <值>` 或 INI 中配置,"The maximum number of consecutive frames that FMaterialCacheHelper::Tick can starve for. After this, tick will be forced to execute.",
MotionDesign.MaterialCache.TickTimeBudget,CVar,float,0.002f,MotionDesign,材质,All,true,false,false,false,false,,`MotionDesign.MaterialCache.TickTimeBudget=<值>` / `MotionDesign.MaterialCache.TickTimeBudget <值>` 或 INI 中配置,The time budget FMaterialCacheHelper::Tick has to process its pending elements.,
