command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
MaterialBaking.ForceDisableEmissiveScaling,CVar,bool,false,MaterialBaking,后处理,All,true,false,false,false,false,,`MaterialBaking.ForceDisableEmissiveScaling=<值>` / `MaterialBaking.ForceDisableEmissiveScaling <值>` 或 INI 中配置,"If set to true, values stored in the emissive textures will be clamped to the [0, 1] range rather than being normalized and scaled back using the EmissiveScale material static parameter.",
MaterialBaking.RenderDocCapture,CVar,int32,0,MaterialBaking,材质,All,true,false,false,false,false,,`MaterialBaking.RenderDocCapture=<值>` / `MaterialBaking.RenderDocCapture <值>` 或 INI 中配置,Determines whether or not to trigger a RenderDoc capture.\n,ECVF_Default
MaterialBaking.SaveIntermediateTextures,CVar,int32,0,MaterialBaking,材质,All,true,false,false,false,false,,`MaterialBaking.SaveIntermediateTextures=<值>` / `MaterialBaking.SaveIntermediateTextures <值>` 或 INI 中配置,Determines whether or not to save out intermediate BMP images for each flattened material property.\n,ECVF_Default
MaterialBaking.UseMaterialProxyCaching,CVar,int32,1,MaterialBaking,材质,All,true,false,false,false,false,,`MaterialBaking.UseMaterialProxyCaching=<值>` / `MaterialBaking.UseMaterialProxyCaching <值>` 或 INI 中配置,Determines whether or not Material Proxies should be cached to speed up material baking.\n,ECVF_Default
MaterialBaking.VTWarmupFrames,CVar,int32,5,MaterialBaking,材质,All,true,false,false,false,false,,`MaterialBaking.VTWarmupFrames=<值>` / `MaterialBaking.VTWarmupFrames <值>` 或 INI 中配置,Number of frames to render for virtual texture warmup when material baking.,
