command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
DC.ChromaKey.AllowNanite,CVar,string,,DC,Nanite,All,true,false,false,false,false,,`DC.ChromaKey.AllowNanite=<值>` / `DC.ChromaKey.AllowNanite <值>` 或 INI 中配置,0 disables Nanite when rendering custom chroma keys. Otherwise uses default showflag.,ECVF_RenderThreadSafe
DC.EnableAlphaChannelRendering,CVar,string,,DC,通用,All,true,false,false,false,false,,`DC.EnableAlphaChannelRendering=<值>` / `DC.EnableAlphaChannelRendering <值>` 或 INI 中配置,"Enable alpha output for all viewports (0 = disabled, 1 = enabled)\n",ECVF_RenderThreadSafe
DC.Lightcards.AllowNanite,CVar,string,,DC,Nanite,All,true,false,false,false,false,,`DC.Lightcards.AllowNanite=<值>` / `DC.Lightcards.AllowNanite <值>` 或 INI 中配置,0 disables Nanite when rendering lightcards. Otherwise uses default showflag.,ECVF_RenderThreadSafe
DC.LumenPerView,CVar,string,,DC,Lumen,All,true,false,false,false,false,,`DC.LumenPerView=<值>` / `DC.LumenPerView <值>` 或 INI 中配置,Separate Lumen scene cache allocated for each View. (Default = 1)\n,ECVF_RenderThreadSafe
DC.MultiGPU,CVar,string,,DC,通用,All,true,false,false,false,false,,`DC.MultiGPU=<值>` / `DC.MultiGPU <值>` 或 INI 中配置,Enable MultiGPU for Display Cluster rendering.  Useful to disable for debugging.  (Default = 1),ECVF_Default
DC.Preview.EnableReuseViewportInCluster,CVar,string,,DC,光线追踪,All,true,false,false,false,false,,`DC.Preview.EnableReuseViewportInCluster=<值>` / `DC.Preview.EnableReuseViewportInCluster <值>` 或 INI 中配置,"Experimental feature (0 == disabled, 1 == enabled)",ECVF_RenderThreadSafe
DC.Stats.Frame,CVar,string,,DC,渲染调试/可视化,All,true,false,false,false,false,,`DC.Stats.Frame=<值>` / `DC.Stats.Frame <值>` 或 INI 中配置,"Show frame stats (timecode, frame number) in a repeating pattern.",ECVF_RenderThreadSafe
